61.79.83.190,2440,38034,2438,38034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.79.247.52,29795,42582,45588,43610,44103,44110,44418,43302,42802,42706,41810,41581,42374,30719,42916,40553,43722,28985,32657,42916,42916,32657,42625,nan,55380,2356,55545,54748,54167,56267,55155,55689,55757,57488,55738,55689,55738,54952,54145,54256,56568,55082,54833,54931,55082,55915,55689,54931,55082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.79.192.244,37947,37947,37947,37947,37947,37947,37947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.78.154.154  ,20,56187,55901,55901,55901,55901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.76.40.136  ,38289,38398,38568,38320,38219,38793,38312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.76.187.10,2444,37841,2444,38145,38145,38145,2444,16404,37841,16404,37841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.74.92.73,37973,37973,38225,37973,38118,37973,37973,38225,37973,38118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.42.127.217  ,40582,44619,44619,56857,56069,57281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.40.244.60  ,45037,45301,44800,44749,44800,44800,44800,44800,57135,54995,55809,57135,57135,2356,56179,57135,57135,57135,56114,57950,55899,56114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.36.37.228 ,45597,43752,53599,53599,56511,54919,53599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.36.37.228,54319,54331,57280,55881,56092,54319,54890,56305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
